,Country Name,"Taux d'abandon cumulé en dernière année du premier cycle de l'enseignement secondaire général, hommes et femmes (%)","Taux de passage effectif du primaire au premier cycle de l'enseignement secondaire général, hommes et femmes (%)",Internautes,"Taux d'achèvement du premier cycle du secondaire, les deux sexes (%)","Taux de flux net d'étudiants en mobilité internationale (entrants - sortants), hommes et femmes (%)"
49,Cuba,0.6056051622080506,0.89338028940397,0.7138986555906592,0.8740750515427526,0.6096034846333848
50,Cyprus,0.6058895651354658,0.8963708075221345,0.8257161127947242,0.8910967266997148,0.4133459503881002
51,Czech Republic,0.6269716665557815,0.898212434071404,0.827465111631536,0.8962472344817608,0.6166246384701726
52,Denmark,0.597266088442424,0.89827816050169,0.8891532494147325,0.8921791337215119,0.6222242902602289
53,Djibouti,0.618546444487286,0.8265095851695063,0.6367200630536752,0.7280559068418697,0.47883492929940374
54,Dominica,0.6097273333525993,0.8867260913849612,0.7990061446975735,0.888763358018228,0.716878130829394
55,Dominican Republic,0.6357044169861162,0.8840533390772539,0.7818371516710426,0.8253694923502785,0.7084610647580488
56,East Asia & Pacific,0.7238677299724665,0.8801676917631193,0.7561464288031353,0.8735397981001671,0.7238677299724665
57,East Asia & Pacific (excluding high income),0.7216193710839912,0.8792947317405944,0.7428681687849544,0.8716426452377204,0.7216193710839912
58,Ecuador,0.6200764089279318,0.8853372673316519,0.7599603608335193,0.9120283548552741,0.7096401246268748
59,"Egypt, Arab Rep.",0.6212552733916243,0.8790891901915661,0.7152474855239412,0.8473117361628505,0.6001161400137329
60,El Salvador,0.6646357712777191,0.878510057866825,0.6844833695546895,0.8608094086982909,0.5932113368265433
61,Equatorial Guinea,0.6464036592506598,0.8866332565353333,0.6687739899418528,0.6803418266002136,0.6648900710757916
62,Eritrea,0.638220052456169,0.8750184475090933,0.6007133673561104,0.6906260142684005,0.547723430349005
63,Estonia,0.598309812560614,0.8962649927937537,0.8598534140182603,0.939227357669769,0.58650075207485
64,Ethiopia,0.7298300495082429,0.8725145714645921,0.6434409719263802,0.6865352159502621,0.673445496227289
65,Euro area,0.7385282128405762,0.8921843716194868,0.8394058932877616,0.8567754921142974,0.7385282128405762
66,Europe & Central Asia,0.7375123850994204,0.894017727803533,0.8197371486689707,0.8754710432459221,0.7375123850994204
67,Europe & Central Asia (excluding high income),0.7347173798727278,0.8959211293863708,0.7888969673367896,0.8860531133881762,0.7347173798727278
68,European Union,0.737672896183068,0.8919716624205986,0.8245034119800324,0.8630643467495798,0.737672896183068
69,Faroe Islands,0.8835552132304658,0.8835552132304658,0.8835552132304658,0.8835552132304658,0.8835552132304658
70,Fiji,0.6353923427950591,0.8809822997643484,0.7372082872424717,0.8870887698732268,0.7057029114388911
71,Finland,0.5974495275727593,0.8978445406584006,0.8612575661793951,0.8972715651611035,0.6104195054886729
72,France,0.5988698560998943,0.8914525132169612,0.8549900119682831,0.9084914872211802,0.6171671270465009
73,French Polynesia,0.7276124563300961,0.7276124563300961,0.8032531266435795,0.7276124563300961,0.7276124563300961
74,Gabon,0.7836995787994873,0.7720666094296121,0.7418614006469987,0.6625494625273417,0.48181527027369686
75,"Gambia, The",0.6098456412142799,0.881469286436563,0.6528751281447135,0.7890884453992311,0.6860506415396956
76,Georgia,0.6005864213737977,0.8970076715907797,0.7477312232380636,0.9222389477595939,0.579849155774901
77,Germany,0.7397238644512859,0.897180889795728,0.8671095838217233,0.7704721404477086,0.7108482719568867
78,Ghana,0.6284379764649288,0.8929867578587753,0.7015533500400091,0.8305777089029918,0.5988245984645783
79,Gibraltar,0.8815551782900916,0.8815551782900916,0.8815551782900916,0.8815551782900916,0.8815551782900916
80,Greece,0.6200519280725408,0.8949377599881183,0.805202832923639,0.8841436468708412,0.5948423551512144
